Process,Category,Service / Module,Mount Path,Source File,Purpose,Key Responsibilities
backend (port 3001),HTTP API,Auth Router,/v1/auth,backend/src/routes/auth.ts,User authentication and session bootstrap,"JWT login, logout, /me identity check, password hashing via bcrypt"
backend (port 3001),HTTP API,Organizations Router,/v1/organizations,backend/src/routes/organizations.ts,Multi-tenant organization management for superadmins,"List/create/edit/delete organizations; cross-org user CRUD (GET/POST/PATCH/DELETE /:id/users); admin elevation; org-context switching"
backend (port 3001),HTTP API,Contact Lists Router,/v1/contact-lists,backend/src/routes/contactLists.ts,Container management for contact rosters,"CRUD on contact_lists; manage per-list attribute (field) definitions; list-scoped read endpoints"
backend (port 3001),HTTP API,Cloud Import Router,/v1/contact-lists (sub-paths),backend/src/routes/cloudImport.ts,One-shot import of contacts from cloud object storage,"Pulls CSV from S3/GCS/Azure/SFTP; streams + parses; validates rows; bulk inserts via COPY; reports per-batch errors"
backend (port 3001),HTTP API,Cloud Import Configs Router,/v1/cloud-import-configs,backend/src/routes/cloudImportConfigs.ts,Stored credentials + cron schedule for recurring cloud imports,"CRUD on cloud_import_configs; computeNextRun helper consumed by the scheduler; encrypts secrets at rest"
backend (port 3001),HTTP API,Contacts Router,/v1/contacts,backend/src/routes/contacts.ts,Single / bulk contact ingestion and per-contact mutations,"POST bulk JSON; multipart CSV upload (streamed via pg-copy-streams); validateContact against field defs; PATCH /:id; DELETE /:id (cleans CCS / history / sessions in a tx); dnc-check; upload-batch status"
backend (port 3001),HTTP API,Field Library Router,/v1/field-library,backend/src/routes/fieldLibrary.ts,Reusable global field definitions shared across contact lists,"CRUD on field_library; allowed_to_all toggle; data_type/field_type taxonomy"
backend (port 3001),HTTP API,Campaigns Router,/v1/campaigns,backend/src/routes/campaigns.ts,Campaign definitions and their linked metadata,"CRUD on campaigns; attach contact lists; attach DNC groups (campaign_dnc_groups); attach disposition code sets; per-campaign reports surface"
backend (port 3001),HTTP API,Holiday Calendars Router,/v1/holiday-calendars,backend/src/routes/holidayCalendars.ts,Country/region holiday calendars used by schedule windows,"CRUD on holiday_calendars + their rules; consumed at scheduling-window evaluation time"
backend (port 3001),HTTP API,Telephony Router,/v1/telephony,backend/src/routes/telephony.ts,Bridges agent browser to FreeSWITCH,"GET /sip-credentials — lazily provisions and returns extension/password + WSS URL for the in-browser softphone (sip.js)"
backend (port 3001),HTTP API,DNC Groups Router,/v1/dnc-groups,backend/src/routes/other.ts (dncRouter),Top-level Do-Not-Call grouping per org,"CRUD on dnc_groups; rolls up list_count + number_count; lists campaigns referencing each group"
backend (port 3001),HTTP API,DNC Lists Router,/v1/dnc-lists,backend/src/routes/other.ts (dncListsRouter),Sub-grouping under a DNC group with a source tag,"CRUD on dnc_lists (manual / import / agent_disposition / campaign_specific); POST /:id/numbers bulk-adds and propagates to campaign_contact_status (sets status='dnc' on matching active rows)"
backend (port 3001),HTTP API,DNC Numbers Router,/v1/dnc-numbers,backend/src/routes/other.ts (dncNumbersRouter),Per-number edit and delete inside a DNC list,"PATCH /:id (phone/reason/notes); DELETE /:id; org-scope verified through parent group"
backend (port 3001),HTTP API,Schedule Templates Router,/v1/schedule-templates,backend/src/routes/other.ts (scheduleRouter),Reusable time-of-day / day-of-week dial windows,"CRUD on schedule_templates + schedule_windows; timezone-aware; consumed by jobs at fetch time"
backend (port 3001),HTTP API,Jobs Router,/v1/jobs,backend/src/routes/other.ts (jobsRouter),Campaign execution instances (a 'run' of a campaign),"List/create campaign_jobs; status transitions; ties contact_list_id + schedule_template_id + campaign_id together; surfaces queue counts per status"
backend (port 3001),HTTP API,Disposition Codes Router,/v1/disposition-codes,backend/src/routes/other.ts (dispositionRouter),Outcome taxonomy applied at end of call,"CRUD on disposition_codes; per-org library; can mark a code as completion or retry"
backend (port 3001),HTTP API,Reports Router,/v1/reports,backend/src/routes/other.ts (reportsRouter),Aggregated analytics endpoints,"Per-campaign KPI rollups (attempted / connected / completed / dnc / avg timings); interaction-log feed used by the frontend Reports page"
backend (port 3001),HTTP API,Agents Router,/v1/agents,backend/src/routes/other.ts (agentsRouter),User management for the 'agent' (and admin/supervisor) roles,"GET / POST / PATCH / DELETE on users scoped to current org; admin / self-delete guards; role elevation rules"
backend (port 3001),HTTP API,Sessions Router (read-only),/v1/sessions,backend/src/routes/other.ts (sessionsRouter),Live agent presence and current-contact lookups,"GET endpoints surface online agents + their current contact and job. Mutating ready/heartbeat/offline endpoints live in backend-queue"
backend (port 3001),HTTP API,Timezones Router,/v1/timezones,backend/src/routes/other.ts (timezonesRouter),Catalogue of IANA timezones,"GET list — populated from Intl.supportedValuesOf('timeZone') by seedTimezones on boot"
backend (port 3001),Background,Scheduler,n/a (interval timer),backend/src/services/scheduler.ts,Polls cloud-import schedules and fires due imports,"setInterval every CLOUD_IMPORT_CHECK_INTERVAL_SECONDS; atomically claims due cloud_import_configs by advancing next_refresh, then invokes runCloudImport; writes last_run_status / last_run_error"
backend (port 3001),Background,ESL Listener,n/a (TCP socket to FreeSWITCH),backend/src/services/eslListener.ts,Subscribes to FreeSWITCH channel events,"Reads sip_h_X-Interaction-Id correlation header; writes answered_at / disconnected_at / fs_uuid / call_status / recording_url back into contact_interactions so call lifecycle is captured even if the browser disconnects mid-call"
backend (port 3001),Middleware,Authenticate,(global on every router),backend/src/middleware/auth.ts,JWT verification and request user injection,"Parses Bearer token; loads req.user (userId, orgId, role); honours X-Org-Context header for superadmin org switching"
backend (port 3001),Middleware,requireRole,(per-route guard),backend/src/middleware/auth.ts,Role-based access control,"Wraps handlers to assert req.user.role; superadmin auto-allowed on every gated route"
backend (port 3001),Middleware,Error Handler,(terminal middleware),backend/src/middleware/errorHandler.ts,Centralised error to HTTP mapping,"AppError -> statusCode + message; Postgres 23505 -> 409 (unique), 23503 -> 404 (FK), 23514 -> 400 (check); 500 fallback with stderr log"
backend (port 3001),DB Bootstrap,Migration Runner,n/a (npm run db:migrate),backend/src/db/migrate.ts,Applies SQL files in backend/migrations/ in order,Sequential .sql execution against the configured pool
backend (port 3001),DB Bootstrap,Pool / withTransaction,n/a (lib),backend/src/db/pool.ts,Postgres connection pool and transaction helper,"Singleton pg.Pool; withTransaction(cb) BEGIN/COMMIT/ROLLBACK helper used by mutating handlers"
backend (port 3001),DB Bootstrap,Seed (initial),n/a (npm run db:seed),backend/src/db/seed.ts,Optional one-off baseline data load,Demo organisations / users / templates for a fresh dev install
backend (port 3001),DB Bootstrap,Seed Superadmin,(auto on boot),backend/src/db/seedSuperadmin.ts,Idempotent System-org + superadmin user creation,Ensures the platform always has at least one login even on a fresh DB
backend (port 3001),DB Bootstrap,Seed Timezones,(auto on boot),backend/src/db/seedTimezones.ts,Populates timezones table from Intl,Runs once if table is empty; safe to re-run
backend (port 3001),DB Bootstrap,Seed Field Library,(auto on boot),backend/src/db/seedFieldLibrary.ts,Populates default reusable field definitions,"Idempotent insert of standard fields (first_name, last_name, email, etc.) marked allowed_to_all"
backend-queue (port 3002),HTTP API,Workspace Router — sessions/ready,PATCH /v1/sessions/ready,backend-queue/src/routes/workspace.ts,Agent marks self available and selects jobs to dial,"Sets agent_sessions.status='available' + selected_job_ids; validates job ownership against agent's org; refreshes login_at on a fresh switch from offline"
backend-queue (port 3002),HTTP API,Workspace Router — sessions/heartbeat,POST /v1/sessions/heartbeat,backend-queue/src/routes/workspace.ts,Liveness ping from the agent UI,"Updates agent_sessions.last_heartbeat_at = NOW(); recovery loop uses this column to detect dead sessions"
backend-queue (port 3002),HTTP API,Workspace Router — sessions/offline,PATCH /v1/sessions/offline,backend-queue/src/routes/workspace.ts,Agent explicitly goes offline,"Sets status='offline' + logout_at; releases any held CCS lock so the contact is immediately re-queueable"
backend-queue (port 3002),HTTP API,Workspace Router — workspace/next-contact,GET /v1/workspace/next-contact,backend-queue/src/routes/workspace.ts,Atomic dispatcher: hands the next dialable contact to the agent,"Single transactional SELECT...FOR UPDATE SKIP LOCKED across campaign_contact_status filtered by session.selected_job_ids, schedule windows, holiday calendars, DNC, priority, next_attempt_at, and the DIALER_MIN_REDIAL_MINUTES floor; flips status='with_agent', stamps locked_by_session, and opens a contact_interactions row with given_at"
backend-queue (port 3002),HTTP API,Workspace Router — workspace/reject,POST /v1/workspace/reject,backend-queue/src/routes/workspace.ts,Agent declines a preview before dialing,"Validates rejection code from REJECTION_CODES; releases CCS lock; records rejected_at on the open interaction; bumps attempts_made and re-schedules next_attempt_at"
backend-queue (port 3002),HTTP API,Workspace Router — workspace/disposition,POST /v1/workspace/disposition,backend-queue/src/routes/workspace.ts,Single final UPDATE that closes a call,"Writes disposition_code + timings (talk_time / wrap-up / total_handling) to contact_interactions; transitions CCS to completed | exhausted | dnc | queued depending on disposition flags; auto-adds number to a campaign_specific DNC list when disposition is dnc-flagged"
backend-queue (port 3002),Background,Recovery Loop,n/a (interval timer),backend-queue/src/services/recovery.ts,Reclaims sessions and locks abandoned by dead agents,"setInterval every HEARTBEAT_CHECK_INTERVAL_SECONDS; in a single tx: marks sessions with stale last_heartbeat_at as offline, frees CCS locks they held (re-queues with a 5-minute cooldown), and closes orphan open contact_interactions rows"
backend-queue (port 3002),Middleware,Authenticate,(global on workspaceRouter),backend-queue/src/middleware/auth.ts,JWT verification (mirror of the backend's middleware),"Same Bearer-token parsing + req.user injection; runs locally so the queue service is independently deployable"
backend-queue (port 3002),Middleware,Error Handler,(terminal middleware),backend-queue/src/middleware/errorHandler.ts,Centralised error to HTTP mapping,"Same PG-code mapping as the main backend; ensures 23505 / 23503 / 23514 surface as 409 / 404 / 400 instead of 500"
backend-queue (port 3002),DB,Pool / withTransaction,n/a (lib),backend-queue/src/db/pool.ts,Dedicated pg.Pool for the queue process,"Separate connection pool from the main backend so dispatch latency is not affected by long-running admin queries; withTransaction helper used by next-contact / disposition"
